example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
693__wikidata_simple__test,0.6,313,313,0,0.0
693__wikidata_simple__test,0.7,399,399,0,0.0
693__wikidata_simple__test,0.8,488,490,2,0.004098360655737705
693__wikidata_simple__test,0.9,668,668,0,0.0
693__wikidata_simple__test,0.95,785,785,0,0.0
392__wikidata_intersection__test,0.6,221,221,0,0.0
392__wikidata_intersection__test,0.7,272,272,0,0.0
392__wikidata_intersection__test,0.8,323,323,0,0.0
392__wikidata_intersection__test,0.9,440,440,0,0.0
392__wikidata_intersection__test,0.95,512,512,0,0.0
677__wikidata_simple__test,0.6,456,470,14,0.03070175438596491
677__wikidata_simple__test,0.7,574,593,19,0.033101045296167246
677__wikidata_simple__test,0.8,712,713,1,0.0014044943820224719
677__wikidata_simple__test,0.9,959,1000,41,0.04275286757038582
677__wikidata_simple__test,0.95,1138,1138,0,0.0
1263__wikitables_composition__test,0.6,123,123,0,0.0
1263__wikitables_composition__test,0.7,149,149,0,0.0
1263__wikitables_composition__test,0.8,175,175,0,0.0
1263__wikitables_composition__test,0.9,227,227,0,0.0
1263__wikitables_composition__test,0.95,255,255,0,0.0
702__wikidata_simple__test,0.6,219,219,0,0.0
702__wikidata_simple__test,0.7,283,283,0,0.0
702__wikidata_simple__test,0.8,357,357,0,0.0
702__wikidata_simple__test,0.9,513,513,0,0.0
702__wikidata_simple__test,0.95,618,618,0,0.0
18__wikitables_composition__test,0.6,213,213,0,0.0
18__wikitables_composition__test,0.7,259,259,0,0.0
18__wikitables_composition__test,0.8,311,311,0,0.0
18__wikitables_composition__test,0.9,409,409,0,0.0
18__wikitables_composition__test,0.95,473,473,0,0.0
79__wikitables_composition__test,0.6,147,147,0,0.0
79__wikitables_composition__test,0.7,178,178,0,0.0
79__wikitables_composition__test,0.8,209,209,0,0.0
79__wikitables_composition__test,0.9,296,296,0,0.0
79__wikitables_composition__test,0.95,,,,
633__wikidata_simple__test,0.6,155,155,0,0.0
633__wikidata_simple__test,0.7,197,197,0,0.0
633__wikidata_simple__test,0.8,239,239,0,0.0
633__wikidata_simple__test,0.9,330,330,0,0.0
633__wikidata_simple__test,0.95,418,418,0,0.0
533__wikitables_simple__test,0.6,675,675,0,0.0
533__wikitables_simple__test,0.7,840,840,0,0.0
533__wikitables_simple__test,0.8,1006,1006,0,0.0
533__wikitables_simple__test,0.9,1346,1346,0,0.0
533__wikitables_simple__test,0.95,1561,1561,0,0.0
385__wikidata_intersection__test,0.6,194,197,3,0.015463917525773196
385__wikidata_intersection__test,0.7,245,245,0,0.0
385__wikidata_intersection__test,0.8,305,307,2,0.006557377049180328
385__wikidata_intersection__test,0.9,424,424,0,0.0
385__wikidata_intersection__test,0.95,489,489,0,0.0
520__wikitables_simple__test,0.6,746,750,4,0.005361930294906166
520__wikitables_simple__test,0.7,917,917,0,0.0
520__wikitables_simple__test,0.8,1098,1098,0,0.0
520__wikitables_simple__test,0.9,1467,1467,0,0.0
520__wikitables_simple__test,0.95,1695,1695,0,0.0
493__wikitables_simple__test,0.6,564,568,4,0.0070921985815602835
493__wikitables_simple__test,0.7,731,731,0,0.0
493__wikitables_simple__test,0.8,893,893,0,0.0
493__wikitables_simple__test,0.9,1241,1241,0,0.0
493__wikitables_simple__test,0.95,1508,1508,0,0.0
534__wikitables_simple__test,0.6,731,731,0,0.0
534__wikitables_simple__test,0.7,894,894,0,0.0
534__wikitables_simple__test,0.8,1059,1059,0,0.0
534__wikitables_simple__test,0.9,1417,1417,0,0.0
534__wikitables_simple__test,0.95,1803,1803,0,0.0
325__wikidata_intersection__test,0.6,199,199,0,0.0
325__wikidata_intersection__test,0.7,245,245,0,0.0
325__wikidata_intersection__test,0.8,292,292,0,0.0
325__wikidata_intersection__test,0.9,391,391,0,0.0
325__wikidata_intersection__test,0.95,443,443,0,0.0
274__wikidata_intersection__test,0.6,233,233,0,0.0
274__wikidata_intersection__test,0.7,284,284,0,0.0
274__wikidata_intersection__test,0.8,336,336,0,0.0
274__wikidata_intersection__test,0.9,504,504,0,0.0
274__wikidata_intersection__test,0.95,599,599,0,0.0
898__wikidata_simple__test,0.6,219,219,0,0.0
898__wikidata_simple__test,0.7,310,314,4,0.012903225806451613
898__wikidata_simple__test,0.8,367,367,0,0.0
898__wikidata_simple__test,0.9,670,670,0,0.0
898__wikidata_simple__test,0.95,858,858,0,0.0
1305__wikidata_simple__test,0.6,155,155,0,0.0
1305__wikidata_simple__test,0.7,194,194,0,0.0
1305__wikidata_simple__test,0.8,245,245,0,0.0
1305__wikidata_simple__test,0.9,365,365,0,0.0
1305__wikidata_simple__test,0.95,489,489,0,0.0
690__wikidata_simple__test,0.6,291,291,0,0.0
690__wikidata_simple__test,0.7,357,357,0,0.0
690__wikidata_simple__test,0.8,439,439,0,0.0
690__wikidata_simple__test,0.9,631,631,0,0.0
690__wikidata_simple__test,0.95,755,755,0,0.0
17__wikitables_composition__test,0.6,127,127,0,0.0
17__wikitables_composition__test,0.7,154,154,0,0.0
17__wikitables_composition__test,0.8,181,181,0,0.0
17__wikitables_composition__test,0.9,245,245,0,0.0
17__wikitables_composition__test,0.95,,,,
480__wikitables_simple__test,0.6,755,767,12,0.015894039735099338
480__wikitables_simple__test,0.7,767,767,0,0.0
480__wikitables_simple__test,0.8,1091,1091,0,0.0
480__wikitables_simple__test,0.9,1441,1441,0,0.0
480__wikitables_simple__test,0.95,1628,1628,0,0.0
1262__wikitables_composition__test,0.6,157,157,0,0.0
1262__wikitables_composition__test,0.7,195,195,0,0.0
1262__wikitables_composition__test,0.8,249,249,0,0.0
1262__wikitables_composition__test,0.9,361,361,0,0.0
1262__wikitables_composition__test,0.95,595,595,0,0.0
890__wikidata_simple__test,0.6,241,241,0,0.0
890__wikidata_simple__test,0.7,310,310,0,0.0
890__wikidata_simple__test,0.8,386,386,0,0.0
890__wikidata_simple__test,0.9,590,590,0,0.0
890__wikidata_simple__test,0.95,783,783,0,0.0
561__wikidata_simple__test,0.6,244,244,0,0.0
561__wikidata_simple__test,0.7,302,302,0,0.0
561__wikidata_simple__test,0.8,379,379,0,0.0
561__wikidata_simple__test,0.9,595,595,0,0.0
561__wikidata_simple__test,0.95,791,791,0,0.0
78__wikitables_composition__test,0.6,196,196,0,0.0
78__wikitables_composition__test,0.7,245,245,0,0.0
78__wikitables_composition__test,0.8,296,296,0,0.0
78__wikitables_composition__test,0.9,445,445,0,0.0
78__wikitables_composition__test,0.95,552,552,0,0.0
367__wikidata_intersection__test,0.6,206,206,0,0.0
367__wikidata_intersection__test,0.7,258,258,0,0.0
367__wikidata_intersection__test,0.8,339,339,0,0.0
367__wikidata_intersection__test,0.9,524,524,0,0.0
367__wikidata_intersection__test,0.95,737,737,0,0.0
867__wikidata_simple__test,0.6,412,412,0,0.0
867__wikidata_simple__test,0.7,496,496,0,0.0
867__wikidata_simple__test,0.8,628,628,0,0.0
867__wikidata_simple__test,0.9,936,936,0,0.0
867__wikidata_simple__test,0.95,,,,
1351__wikidata_simple__test,0.6,225,240,15,0.06666666666666667
1351__wikidata_simple__test,0.7,271,285,14,0.05166051660516605
1351__wikidata_simple__test,0.8,337,347,10,0.02967359050445104
1351__wikidata_simple__test,0.9,456,456,0,0.0
1351__wikidata_simple__test,0.95,509,509,0,0.0
87__wikitables_composition__test,0.6,189,189,0,0.0
87__wikitables_composition__test,0.7,237,237,0,0.0
87__wikitables_composition__test,0.8,288,288,0,0.0
87__wikitables_composition__test,0.9,452,452,0,0.0
87__wikitables_composition__test,0.95,565,565,0,0.0
885__wikidata_simple__test,0.6,424,424,0,0.0
885__wikidata_simple__test,0.7,532,551,19,0.03571428571428571
885__wikidata_simple__test,0.8,659,695,36,0.054628224582701064
885__wikidata_simple__test,0.9,852,852,0,0.0
885__wikidata_simple__test,0.95,1142,1142,0,0.0
328__wikidata_intersection__test,0.6,173,173,0,0.0
328__wikidata_intersection__test,0.7,216,216,0,0.0
328__wikidata_intersection__test,0.8,266,266,0,0.0
328__wikidata_intersection__test,0.9,399,399,0,0.0
328__wikidata_intersection__test,0.95,623,623,0,0.0
