example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
668__wikidata_simple__test,0.6,271,272,1,0.0036900369003690036
668__wikidata_simple__test,0.7,331,333,2,0.006042296072507553
668__wikidata_simple__test,0.8,392,401,9,0.02295918367346939
668__wikidata_simple__test,0.9,558,558,0,0.0
668__wikidata_simple__test,0.95,759,759,0,0.0
629__wikidata_simple__test,0.6,399,399,0,0.0
629__wikidata_simple__test,0.7,497,497,0,0.0
629__wikidata_simple__test,0.8,606,606,0,0.0
629__wikidata_simple__test,0.9,890,890,0,0.0
629__wikidata_simple__test,0.95,1068,1068,0,0.0
81__wikitables_composition__test,0.6,141,141,0,0.0
81__wikitables_composition__test,0.7,172,172,0,0.0
81__wikitables_composition__test,0.8,204,204,0,0.0
81__wikitables_composition__test,0.9,268,268,0,0.0
81__wikitables_composition__test,0.95,300,300,0,0.0
624__wikidata_simple__test,0.6,191,191,0,0.0
624__wikidata_simple__test,0.7,239,239,0,0.0
624__wikidata_simple__test,0.8,291,291,0,0.0
624__wikidata_simple__test,0.9,397,397,0,0.0
624__wikidata_simple__test,0.95,453,453,0,0.0
912__wikidata_simple__test,0.6,226,226,0,0.0
912__wikidata_simple__test,0.7,274,274,0,0.0
912__wikidata_simple__test,0.8,324,324,0,0.0
912__wikidata_simple__test,0.9,456,456,0,0.0
912__wikidata_simple__test,0.95,,,,
474__wikitables_simple__test,0.6,698,698,0,0.0
474__wikitables_simple__test,0.7,857,857,0,0.0
474__wikitables_simple__test,0.8,1019,1019,0,0.0
474__wikitables_simple__test,0.9,1443,1487,44,0.030492030492030493
474__wikitables_simple__test,0.95,,,,
600__wikidata_simple__test,0.6,226,226,0,0.0
600__wikidata_simple__test,0.7,275,275,0,0.0
600__wikidata_simple__test,0.8,324,324,0,0.0
600__wikidata_simple__test,0.9,422,422,0,0.0
600__wikidata_simple__test,0.95,473,473,0,0.0
481__wikitables_simple__test,0.6,657,657,0,0.0
481__wikitables_simple__test,0.7,822,822,0,0.0
481__wikitables_simple__test,0.8,991,991,0,0.0
481__wikitables_simple__test,0.9,1388,1388,0,0.0
481__wikitables_simple__test,0.95,1601,1601,0,0.0
584__wikidata_simple__test,0.6,151,151,0,0.0
584__wikidata_simple__test,0.7,190,190,0,0.0
584__wikidata_simple__test,0.8,245,245,0,0.0
584__wikidata_simple__test,0.9,362,362,0,0.0
584__wikidata_simple__test,0.95,494,494,0,0.0
37__wikitables_composition__test,0.6,276,276,0,0.0
37__wikitables_composition__test,0.7,361,361,0,0.0
