example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
552__wikitables_simple__dev,0.6,608,608,0,0.0
552__wikitables_simple__dev,0.7,764,764,0,0.0
552__wikitables_simple__dev,0.8,921,921,0,0.0
552__wikitables_simple__dev,0.9,1253,1253,0,0.0
552__wikitables_simple__dev,0.95,,,,
299__wikidata_intersection__dev,0.6,349,360,11,0.03151862464183381
299__wikidata_intersection__dev,0.7,427,427,0,0.0
299__wikidata_intersection__dev,0.8,600,642,42,0.07
299__wikidata_intersection__dev,0.9,1073,1073,0,0.0
299__wikidata_intersection__dev,0.95,,,,
213__wikidata_intersection__dev,0.6,267,267,0,0.0
213__wikidata_intersection__dev,0.7,343,343,0,0.0
213__wikidata_intersection__dev,0.8,423,423,0,0.0
213__wikidata_intersection__dev,0.9,608,608,0,0.0
213__wikidata_intersection__dev,0.95,725,725,0,0.0
826__wikidata_simple__dev,0.6,308,308,0,0.0
826__wikidata_simple__dev,0.7,399,399,0,0.0
826__wikidata_simple__dev,0.8,489,489,0,0.0
826__wikidata_simple__dev,0.9,686,686,0,0.0
826__wikidata_simple__dev,0.95,801,801,0,0.0
31__wikitables_composition__dev,0.6,164,164,0,0.0
31__wikitables_composition__dev,0.7,197,197,0,0.0
31__wikitables_composition__dev,0.8,230,230,0,0.0
31__wikitables_composition__dev,0.9,299,299,0,0.0
31__wikitables_composition__dev,0.95,425,425,0,0.0
792__wikidata_simple__dev,0.6,391,391,0,0.0
792__wikidata_simple__dev,0.7,518,518,0,0.0
792__wikidata_simple__dev,0.8,661,661,0,0.0
792__wikidata_simple__dev,0.9,973,973,0,0.0
792__wikidata_simple__dev,0.95,1143,1143,0,0.0
533__wikitables_simple__dev,0.6,669,669,0,0.0
533__wikitables_simple__dev,0.7,825,825,0,0.0
533__wikitables_simple__dev,0.8,989,990,1,0.0010111223458038423
533__wikitables_simple__dev,0.9,1317,1317,0,0.0
533__wikitables_simple__dev,0.95,,,,
913__wikidata_simple__dev,0.6,438,445,7,0.01598173515981735
913__wikidata_simple__dev,0.7,564,565,1,0.0017730496453900709
913__wikidata_simple__dev,0.8,664,671,7,0.010542168674698794
913__wikidata_simple__dev,0.9,873,880,7,0.008018327605956471
913__wikidata_simple__dev,0.95,993,993,0,0.0
645__wikidata_simple__dev,0.6,374,374,0,0.0
645__wikidata_simple__dev,0.7,460,460,0,0.0
645__wikidata_simple__dev,0.8,599,599,0,0.0
645__wikidata_simple__dev,0.9,1079,1079,0,0.0
645__wikidata_simple__dev,0.95,,,,
833__wikidata_simple__dev,0.6,295,295,0,0.0
833__wikidata_simple__dev,0.7,366,366,0,0.0
833__wikidata_simple__dev,0.8,440,440,0,0.0
833__wikidata_simple__dev,0.9,614,614,0,0.0
833__wikidata_simple__dev,0.95,789,789,0,0.0
906__wikidata_simple__dev,0.6,315,315,0,0.0
906__wikidata_simple__dev,0.7,402,402,0,0.0
906__wikidata_simple__dev,0.8,497,497,0,0.0
906__wikidata_simple__dev,0.9,730,730,0,0.0
906__wikidata_simple__dev,0.95,864,864,0,0.0
628__wikidata_simple__dev,0.6,229,229,0,0.0
628__wikidata_simple__dev,0.7,286,286,0,0.0
628__wikidata_simple__dev,0.8,349,349,0,0.0
628__wikidata_simple__dev,0.9,523,523,0,0.0
628__wikidata_simple__dev,0.95,672,672,0,0.0
621__wikidata_simple__dev,0.6,223,223,0,0.0
621__wikidata_simple__dev,0.7,276,276,0,0.0
621__wikidata_simple__dev,0.8,331,331,0,0.0
621__wikidata_simple__dev,0.9,455,455,0,0.0
621__wikidata_simple__dev,0.95,516,516,0,0.0
330__wikidata_intersection__dev,0.6,317,317,0,0.0
330__wikidata_intersection__dev,0.7,410,410,0,0.0
330__wikidata_intersection__dev,0.8,503,503,0,0.0
330__wikidata_intersection__dev,0.9,691,691,0,0.0
330__wikidata_intersection__dev,0.95,785,785,0,0.0
476__wikitables_simple__dev,0.6,645,645,0,0.0
476__wikitables_simple__dev,0.7,809,809,0,0.0
476__wikitables_simple__dev,0.8,983,983,0,0.0
476__wikitables_simple__dev,0.9,1354,1354,0,0.0
476__wikitables_simple__dev,0.95,1598,1598,0,0.0
87__wikitables_composition__dev,0.6,136,136,0,0.0
87__wikitables_composition__dev,0.7,172,172,0,0.0
87__wikitables_composition__dev,0.8,223,223,0,0.0
87__wikitables_composition__dev,0.9,355,355,0,0.0
87__wikitables_composition__dev,0.95,758,758,0,0.0
505__wikitables_simple__dev,0.6,758,758,0,0.0
505__wikitables_simple__dev,0.7,920,920,0,0.0
505__wikitables_simple__dev,0.8,1095,1095,0,0.0
505__wikitables_simple__dev,0.9,1431,1431,0,0.0
505__wikitables_simple__dev,0.95,,,,
871__wikidata_simple__dev,0.6,452,452,0,0.0
871__wikidata_simple__dev,0.7,588,588,0,0.0
871__wikidata_simple__dev,0.8,726,726,0,0.0
871__wikidata_simple__dev,0.9,1093,1093,0,0.0
871__wikidata_simple__dev,0.95,1272,1272,0,0.0
681__wikidata_simple__dev,0.6,322,322,0,0.0
681__wikidata_simple__dev,0.7,427,427,0,0.0
681__wikidata_simple__dev,0.8,526,526,0,0.0
681__wikidata_simple__dev,0.9,740,740,0,0.0
681__wikidata_simple__dev,0.95,,,,
463__wikidata_intersection__dev,0.6,211,211,0,0.0
463__wikidata_intersection__dev,0.7,259,259,0,0.0
