example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,cumulative_tokens
5a722b8655429971e9dc9329,0.6,True,79,"[0, 0, 0, 0, 2, 1]",0.8,79.0
5a722b8655429971e9dc9329,0.7,True,79,"[0, 0, 0, 0, 2, 1]",0.8,158.0
5a722b8655429971e9dc9329,0.8,True,79,"[0, 0, 0, 0, 2, 1]",0.8,237.0
5a722b8655429971e9dc9329,0.9,False,,,,
5a722b8655429971e9dc9329,0.95,False,,,,
5a75e05c55429976ec32bc5f,0.6,True,65,"[0, 1, 0, 0, 0, 1]",1.0,65.0
5a75e05c55429976ec32bc5f,0.7,True,65,"[0, 1, 0, 0, 0, 1]",1.0,130.0
5a75e05c55429976ec32bc5f,0.8,True,65,"[0, 1, 0, 0, 0, 1]",1.0,195.0
5a75e05c55429976ec32bc5f,0.9,True,65,"[0, 1, 0, 0, 0, 1]",1.0,260.0
5a75e05c55429976ec32bc5f,0.95,True,65,"[0, 1, 0, 0, 0, 1]",1.0,325.0
5a8133725542995ce29dcbdb,0.6,True,105,"[1, 0, 0, 2, 0, 0]",0.8571428571428571,105.0
5a8133725542995ce29dcbdb,0.7,True,105,"[1, 0, 0, 2, 0, 0]",0.8571428571428571,210.0
5a8133725542995ce29dcbdb,0.8,True,105,"[1, 0, 0, 2, 0, 0]",0.8571428571428571,315.0
5a8133725542995ce29dcbdb,0.9,False,,,,
5a8133725542995ce29dcbdb,0.95,False,,,,
5a85ea095542994775f606a8,0.6,True,104,"[0, 1, 0, 0, 0, 1]",1.0,104.0
5a85ea095542994775f606a8,0.7,True,104,"[0, 1, 0, 0, 0, 1]",1.0,208.0
5a85ea095542994775f606a8,0.8,True,104,"[0, 1, 0, 0, 0, 1]",1.0,312.0
5a85ea095542994775f606a8,0.9,True,104,"[0, 1, 0, 0, 0, 1]",1.0,416.0
5a85ea095542994775f606a8,0.95,True,104,"[0, 1, 0, 0, 0, 1]",1.0,520.0
5a8a3e745542996c9b8d5e70,0.6,True,41,"[1, 0, 0, 0, 1, 0]",1.0,41.0
5a8a3e745542996c9b8d5e70,0.7,True,41,"[1, 0, 0, 0, 1, 0]",1.0,82.0
5a8a3e745542996c9b8d5e70,0.8,True,41,"[1, 0, 0, 0, 1, 0]",1.0,123.0
5a8a3e745542996c9b8d5e70,0.9,True,41,"[1, 0, 0, 0, 1, 0]",1.0,164.0
5a8a3e745542996c9b8d5e70,0.95,True,41,"[1, 0, 0, 0, 1, 0]",1.0,205.0
5a8b57f25542995d1e6f1371,0.6,True,73,"[1, 0, 0, 2, 0, 0]",1.0,73.0
5a8b57f25542995d1e6f1371,0.7,True,73,"[1, 0, 0, 2, 0, 0]",1.0,146.0
5a8b57f25542995d1e6f1371,0.8,True,73,"[1, 0, 0, 2, 0, 0]",1.0,219.0
5a8b57f25542995d1e6f1371,0.9,True,73,"[1, 0, 0, 2, 0, 0]",1.0,292.0
5a8b57f25542995d1e6f1371,0.95,True,73,"[1, 0, 0, 2, 0, 0]",1.0,365.0
5a8db19d5542994ba4e3dd00,0.6,True,43,"[0, 0, 0, 1, 1, 0]",1.0,43.0
5a8db19d5542994ba4e3dd00,0.7,True,43,"[0, 0, 0, 1, 1, 0]",1.0,86.0
5a8db19d5542994ba4e3dd00,0.8,True,43,"[0, 0, 0, 1, 1, 0]",1.0,129.0
5a8db19d5542994ba4e3dd00,0.9,True,43,"[0, 0, 0, 1, 1, 0]",1.0,172.0
5a8db19d5542994ba4e3dd00,0.95,True,43,"[0, 0, 0, 1, 1, 0]",1.0,215.0
5ab29c24554299449642c932,0.6,True,46,"[0, 1, 0, 1, 0, 0]",1.0,46.0
5ab29c24554299449642c932,0.7,True,46,"[0, 1, 0, 1, 0, 0]",1.0,92.0
