example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,cumulative_tokens
5a85ea095542994775f606a8,0.6,True,104,"[0, 1, 0, 0, 1]",1.0,104.0
5a85ea095542994775f606a8,0.7,True,104,"[0, 1, 0, 0, 1]",1.0,208.0
5a85ea095542994775f606a8,0.8,True,104,"[0, 1, 0, 0, 1]",1.0,312.0
5a85ea095542994775f606a8,0.9,True,104,"[0, 1, 0, 0, 1]",1.0,416.0
5a85ea095542994775f606a8,0.95,True,104,"[0, 1, 0, 0, 1]",1.0,520.0
5a8db19d5542994ba4e3dd00,0.6,True,43,"[0, 0, 1, 1, 0]",1.0,43.0
5a8db19d5542994ba4e3dd00,0.7,True,43,"[0, 0, 1, 1, 0]",1.0,86.0
5a8db19d5542994ba4e3dd00,0.8,True,43,"[0, 0, 1, 1, 0]",1.0,129.0
5a8db19d5542994ba4e3dd00,0.9,True,43,"[0, 0, 1, 1, 0]",1.0,172.0
5a8db19d5542994ba4e3dd00,0.95,True,43,"[0, 0, 1, 1, 0]",1.0,215.0
5abd94525542992ac4f382d2,0.6,True,48,"[0, 1, 1, 0, 0]",1.0,48.0
5abd94525542992ac4f382d2,0.7,True,48,"[0, 1, 1, 0, 0]",1.0,96.0
5abd94525542992ac4f382d2,0.8,True,48,"[0, 1, 1, 0, 0]",1.0,144.0
5abd94525542992ac4f382d2,0.9,True,48,"[0, 1, 1, 0, 0]",1.0,192.0
5abd94525542992ac4f382d2,0.95,True,48,"[0, 1, 1, 0, 0]",1.0,240.0
5adbf0a255429947ff17385a,0.6,True,36,"[0, 0, 0, 1, 1]",1.0,36.0
5adbf0a255429947ff17385a,0.7,True,36,"[0, 0, 0, 1, 1]",1.0,72.0
5adbf0a255429947ff17385a,0.8,True,36,"[0, 0, 0, 1, 1]",1.0,108.0
5adbf0a255429947ff17385a,0.9,True,36,"[0, 0, 0, 1, 1]",1.0,144.0
5adbf0a255429947ff17385a,0.95,True,36,"[0, 0, 0, 1, 1]",1.0,180.0
