example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
5a85ea095542994775f606a8,0.6,104,104,0,0.0
5a85ea095542994775f606a8,0.7,104,104,0,0.0
5a85ea095542994775f606a8,0.8,104,104,0,0.0
5a85ea095542994775f606a8,0.9,104,104,0,0.0
5a85ea095542994775f606a8,0.95,104,104,0,0.0
5a8db19d5542994ba4e3dd00,0.6,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.7,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.8,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.9,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.95,43,43,0,0.0
5abd94525542992ac4f382d2,0.6,48,48,0,0.0
5abd94525542992ac4f382d2,0.7,48,48,0,0.0
5abd94525542992ac4f382d2,0.8,48,48,0,0.0
5abd94525542992ac4f382d2,0.9,48,48,0,0.0
5abd94525542992ac4f382d2,0.95,48,48,0,0.0
5adbf0a255429947ff17385a,0.6,36,36,0,0.0
5adbf0a255429947ff17385a,0.7,36,36,0,0.0
5adbf0a255429947ff17385a,0.8,36,36,0,0.0
5adbf0a255429947ff17385a,0.9,36,36,0,0.0
5adbf0a255429947ff17385a,0.95,36,36,0,0.0
