example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
5a722b8655429971e9dc9329,0.6,79,79,0,0.0
5a722b8655429971e9dc9329,0.7,79,79,0,0.0
5a722b8655429971e9dc9329,0.8,79,79,0,0.0
5a722b8655429971e9dc9329,0.9,,,,
5a722b8655429971e9dc9329,0.95,,,,
5a75e05c55429976ec32bc5f,0.6,65,65,0,0.0
5a75e05c55429976ec32bc5f,0.7,65,65,0,0.0
5a75e05c55429976ec32bc5f,0.8,65,65,0,0.0
5a75e05c55429976ec32bc5f,0.9,65,65,0,0.0
5a75e05c55429976ec32bc5f,0.95,65,65,0,0.0
5a8133725542995ce29dcbdb,0.6,105,105,0,0.0
5a8133725542995ce29dcbdb,0.7,105,105,0,0.0
5a8133725542995ce29dcbdb,0.8,105,105,0,0.0
5a8133725542995ce29dcbdb,0.9,,,,
5a8133725542995ce29dcbdb,0.95,,,,
5a85ea095542994775f606a8,0.6,104,104,0,0.0
5a85ea095542994775f606a8,0.7,104,104,0,0.0
5a85ea095542994775f606a8,0.8,104,104,0,0.0
5a85ea095542994775f606a8,0.9,104,104,0,0.0
5a85ea095542994775f606a8,0.95,104,104,0,0.0
5a8a3e745542996c9b8d5e70,0.6,41,41,0,0.0
5a8a3e745542996c9b8d5e70,0.7,41,41,0,0.0
5a8a3e745542996c9b8d5e70,0.8,41,41,0,0.0
5a8a3e745542996c9b8d5e70,0.9,41,41,0,0.0
5a8a3e745542996c9b8d5e70,0.95,41,41,0,0.0
5a8b57f25542995d1e6f1371,0.6,73,73,0,0.0
5a8b57f25542995d1e6f1371,0.7,73,73,0,0.0
5a8b57f25542995d1e6f1371,0.8,73,73,0,0.0
5a8b57f25542995d1e6f1371,0.9,73,73,0,0.0
5a8b57f25542995d1e6f1371,0.95,73,73,0,0.0
5a8db19d5542994ba4e3dd00,0.6,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.7,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.8,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.9,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.95,43,43,0,0.0
5ab29c24554299449642c932,0.6,46,46,0,0.0
5ab29c24554299449642c932,0.7,46,46,0,0.0
5ab29c24554299449642c932,0.8,46,46,0,0.0
5ab29c24554299449642c932,0.9,46,46,0,0.0
5ab29c24554299449642c932,0.95,46,46,0,0.0
5ab3b0bf5542992ade7c6e39,0.6,71,71,0,0.0
5ab3b0bf5542992ade7c6e39,0.7,71,71,0,0.0
5ab3b0bf5542992ade7c6e39,0.8,71,71,0,0.0
5ab3b0bf5542992ade7c6e39,0.9,71,71,0,0.0
5ab3b0bf5542992ade7c6e39,0.95,71,71,0,0.0
5ab3e45655429976abd1bcd4,0.6,80,80,0,0.0
5ab3e45655429976abd1bcd4,0.7,80,80,0,0.0
5ab3e45655429976abd1bcd4,0.8,80,80,0,0.0
5ab3e45655429976abd1bcd4,0.9,80,80,0,0.0
5ab3e45655429976abd1bcd4,0.95,80,80,0,0.0
5ab56e32554299637185c594,0.6,68,68,0,0.0
5ab56e32554299637185c594,0.7,68,68,0,0.0
5ab56e32554299637185c594,0.8,68,68,0,0.0
5ab56e32554299637185c594,0.9,68,68,0,0.0
5ab56e32554299637185c594,0.95,68,68,0,0.0
5abd94525542992ac4f382d2,0.6,48,48,0,0.0
5abd94525542992ac4f382d2,0.7,48,48,0,0.0
5abd94525542992ac4f382d2,0.8,48,48,0,0.0
5abd94525542992ac4f382d2,0.9,48,48,0,0.0
5abd94525542992ac4f382d2,0.95,48,48,0,0.0
5ac23ff0554299636651994d,0.6,125,125,0,0.0
5ac23ff0554299636651994d,0.7,125,125,0,0.0
5ac23ff0554299636651994d,0.8,125,125,0,0.0
5ac23ff0554299636651994d,0.9,125,125,0,0.0
5ac23ff0554299636651994d,0.95,125,125,0,0.0
5adbf0a255429947ff17385a,0.6,36,36,0,0.0
5adbf0a255429947ff17385a,0.7,36,36,0,0.0
5adbf0a255429947ff17385a,0.8,36,36,0,0.0
5adbf0a255429947ff17385a,0.9,36,36,0,0.0
5adbf0a255429947ff17385a,0.95,36,36,0,0.0
5adf37a95542995ec70e8f97,0.6,120,120,0,0.0
5adf37a95542995ec70e8f97,0.7,120,120,0,0.0
5adf37a95542995ec70e8f97,0.8,120,120,0,0.0
5adf37a95542995ec70e8f97,0.9,120,120,0,0.0
5adf37a95542995ec70e8f97,0.95,120,120,0,0.0
