example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall,cumulative_tokens
5a722b8655429971e9dc9329,0.2,True,58,"[0, 0, 0, 0, 2, 0]",0.5,0.8,0.5,58.0
5a722b8655429971e9dc9329,0.3333333333333333,True,58,"[0, 0, 0, 0, 2, 0]",0.5,0.8,0.5,116.0
5a722b8655429971e9dc9329,0.4,True,58,"[0, 0, 0, 0, 2, 0]",0.5,0.8,0.5,174.0
5a722b8655429971e9dc9329,0.5,True,58,"[0, 0, 0, 0, 2, 0]",0.5,0.8,0.5,232.0
5a722b8655429971e9dc9329,0.6,True,127,"[0, 0, 0, 0, 2, 2]",0.8,0.8,1.0,359.0
5a722b8655429971e9dc9329,0.6666666666666666,True,127,"[0, 0, 0, 0, 2, 2]",0.8,0.8,1.0,486.0
5a722b8655429971e9dc9329,0.8,True,127,"[0, 0, 0, 0, 2, 2]",0.8,0.8,1.0,613.0
5a722b8655429971e9dc9329,1.0,False,,,,,,
5a75e05c55429976ec32bc5f,0.2,True,32,"[0, 0, 0, 0, 0, 1]",0.5,1.0,0.5,32.0
5a75e05c55429976ec32bc5f,0.3333333333333333,True,32,"[0, 0, 0, 0, 0, 1]",0.5,1.0,0.5,64.0
5a75e05c55429976ec32bc5f,0.4,True,32,"[0, 0, 0, 0, 0, 1]",0.5,1.0,0.5,96.0
5a75e05c55429976ec32bc5f,0.5,True,32,"[0, 0, 0, 0, 0, 1]",0.5,1.0,0.5,128.0
5a75e05c55429976ec32bc5f,0.6,False,,,,,,
5a75e05c55429976ec32bc5f,0.6666666666666666,False,,,,,,
5a75e05c55429976ec32bc5f,0.8,False,,,,,,
5a75e05c55429976ec32bc5f,1.0,False,,,,,,
5a8133725542995ce29dcbdb,0.2,True,105,"[1, 0, 0, 2, 0, 0]",0.5,0.8571428571428571,0.5,105.0
