example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
5a722b8655429971e9dc9329,0.6,127,127,0,0.0
5a722b8655429971e9dc9329,0.7,127,127,0,0.0
5a722b8655429971e9dc9329,0.8,127,127,0,0.0
5a722b8655429971e9dc9329,0.9,,,,
5a722b8655429971e9dc9329,0.95,,,,
5a75e05c55429976ec32bc5f,0.6,,,,
5a75e05c55429976ec32bc5f,0.7,,,,
5a75e05c55429976ec32bc5f,0.8,,,,
5a75e05c55429976ec32bc5f,0.9,,,,
5a75e05c55429976ec32bc5f,0.95,,,,
5a8133725542995ce29dcbdb,0.6,,,,
5a8133725542995ce29dcbdb,0.7,,,,
5a8133725542995ce29dcbdb,0.8,,,,
5a8133725542995ce29dcbdb,0.9,,,,
5a8133725542995ce29dcbdb,0.95,,,,
5a85ea095542994775f606a8,0.6,247,247,0,0.0
5a85ea095542994775f606a8,0.7,,,,
5a85ea095542994775f606a8,0.8,,,,
5a85ea095542994775f606a8,0.9,,,,
5a85ea095542994775f606a8,0.95,,,,
5a8a3e745542996c9b8d5e70,0.6,46,46,0,0.0
5a8a3e745542996c9b8d5e70,0.7,46,46,0,0.0
5a8a3e745542996c9b8d5e70,0.8,46,46,0,0.0
5a8a3e745542996c9b8d5e70,0.9,46,46,0,0.0
5a8a3e745542996c9b8d5e70,0.95,46,46,0,0.0
5a8b57f25542995d1e6f1371,0.6,114,114,0,0.0
5a8b57f25542995d1e6f1371,0.7,114,114,0,0.0
5a8b57f25542995d1e6f1371,0.8,114,114,0,0.0
5a8b57f25542995d1e6f1371,0.9,114,114,0,0.0
5a8b57f25542995d1e6f1371,0.95,114,114,0,0.0
5a8db19d5542994ba4e3dd00,0.6,72,72,0,0.0
5a8db19d5542994ba4e3dd00,0.7,72,72,0,0.0
5a8db19d5542994ba4e3dd00,0.8,72,72,0,0.0
5a8db19d5542994ba4e3dd00,0.9,72,72,0,0.0
5a8db19d5542994ba4e3dd00,0.95,72,72,0,0.0
5ab29c24554299449642c932,0.6,138,138,0,0.0
5ab29c24554299449642c932,0.7,138,138,0,0.0
5ab29c24554299449642c932,0.8,138,138,0,0.0
5ab29c24554299449642c932,0.9,138,138,0,0.0
5ab29c24554299449642c932,0.95,138,138,0,0.0
5ab3b0bf5542992ade7c6e39,0.6,133,133,0,0.0
5ab3b0bf5542992ade7c6e39,0.7,,,,
5ab3b0bf5542992ade7c6e39,0.8,,,,
5ab3b0bf5542992ade7c6e39,0.9,,,,
5ab3b0bf5542992ade7c6e39,0.95,,,,
5ab3e45655429976abd1bcd4,0.6,97,97,0,0.0
5ab3e45655429976abd1bcd4,0.7,,,,
5ab3e45655429976abd1bcd4,0.8,,,,
5ab3e45655429976abd1bcd4,0.9,,,,
5ab3e45655429976abd1bcd4,0.95,,,,
5ab56e32554299637185c594,0.6,140,140,0,0.0
5ab56e32554299637185c594,0.7,140,140,0,0.0
5ab56e32554299637185c594,0.8,140,140,0,0.0
5ab56e32554299637185c594,0.9,140,140,0,0.0
5ab56e32554299637185c594,0.95,140,140,0,0.0
5abd94525542992ac4f382d2,0.6,48,48,0,0.0
5abd94525542992ac4f382d2,0.7,48,48,0,0.0
5abd94525542992ac4f382d2,0.8,48,48,0,0.0
5abd94525542992ac4f382d2,0.9,48,48,0,0.0
5abd94525542992ac4f382d2,0.95,48,48,0,0.0
5ac23ff0554299636651994d,0.6,,,,
5ac23ff0554299636651994d,0.7,,,,
5ac23ff0554299636651994d,0.8,,,,
5ac23ff0554299636651994d,0.9,,,,
5ac23ff0554299636651994d,0.95,,,,
5adbf0a255429947ff17385a,0.6,86,86,0,0.0
5adbf0a255429947ff17385a,0.7,86,86,0,0.0
5adbf0a255429947ff17385a,0.8,86,86,0,0.0
5adbf0a255429947ff17385a,0.9,86,86,0,0.0
5adbf0a255429947ff17385a,0.95,86,86,0,0.0
5adf37a95542995ec70e8f97,0.6,,,,
5adf37a95542995ec70e8f97,0.7,,,,
5adf37a95542995ec70e8f97,0.8,,,,
5adf37a95542995ec70e8f97,0.9,,,,
5adf37a95542995ec70e8f97,0.95,,,,
