example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
5a722b8655429971e9dc9329,0.2,58,58,0,0.0
5a722b8655429971e9dc9329,0.3333333333333333,58,58,0,0.0
5a722b8655429971e9dc9329,0.4,58,58,0,0.0
5a722b8655429971e9dc9329,0.5,58,58,0,0.0
5a722b8655429971e9dc9329,0.6,127,127,0,0.0
5a722b8655429971e9dc9329,0.6666666666666666,127,127,0,0.0
5a722b8655429971e9dc9329,0.8,127,127,0,0.0
5a722b8655429971e9dc9329,1.0,,,,
5a75e05c55429976ec32bc5f,0.2,32,32,0,0.0
5a75e05c55429976ec32bc5f,0.3333333333333333,32,32,0,0.0
5a75e05c55429976ec32bc5f,0.4,32,32,0,0.0
5a75e05c55429976ec32bc5f,0.5,32,32,0,0.0
5a75e05c55429976ec32bc5f,0.6,,,,
5a75e05c55429976ec32bc5f,0.6666666666666666,,,,
5a75e05c55429976ec32bc5f,0.8,,,,
5a75e05c55429976ec32bc5f,1.0,,,,
5a8133725542995ce29dcbdb,0.2,105,105,0,0.0
5a8133725542995ce29dcbdb,0.3333333333333333,105,105,0,0.0
5a8133725542995ce29dcbdb,0.4,105,105,0,0.0
5a8133725542995ce29dcbdb,0.5,105,105,0,0.0
5a8133725542995ce29dcbdb,0.6,,,,
5a8133725542995ce29dcbdb,0.6666666666666666,,,,
5a8133725542995ce29dcbdb,0.8,,,,
5a8133725542995ce29dcbdb,1.0,,,,
5a85ea095542994775f606a8,0.2,32,32,0,0.0
5a85ea095542994775f606a8,0.3333333333333333,104,104,0,0.0
5a85ea095542994775f606a8,0.4,104,104,0,0.0
5a85ea095542994775f606a8,0.5,247,247,0,0.0
5a85ea095542994775f606a8,0.6,247,247,0,0.0
5a85ea095542994775f606a8,0.6666666666666666,,,,
5a85ea095542994775f606a8,0.8,,,,
5a85ea095542994775f606a8,1.0,,,,
5a8a3e745542996c9b8d5e70,0.2,18,18,0,0.0
5a8a3e745542996c9b8d5e70,0.3333333333333333,18,18,0,0.0
5a8a3e745542996c9b8d5e70,0.4,18,18,0,0.0
5a8a3e745542996c9b8d5e70,0.5,18,18,0,0.0
5a8a3e745542996c9b8d5e70,0.6,46,46,0,0.0
5a8a3e745542996c9b8d5e70,0.6666666666666666,46,46,0,0.0
5a8a3e745542996c9b8d5e70,0.8,46,46,0,0.0
5a8a3e745542996c9b8d5e70,1.0,46,46,0,0.0
5a8b57f25542995d1e6f1371,0.2,73,73,0,0.0
5a8b57f25542995d1e6f1371,0.3333333333333333,73,73,0,0.0
5a8b57f25542995d1e6f1371,0.4,73,73,0,0.0
5a8b57f25542995d1e6f1371,0.5,73,73,0,0.0
5a8b57f25542995d1e6f1371,0.6,114,114,0,0.0
5a8b57f25542995d1e6f1371,0.6666666666666666,114,114,0,0.0
5a8b57f25542995d1e6f1371,0.8,114,114,0,0.0
5a8b57f25542995d1e6f1371,1.0,114,114,0,0.0
5a8db19d5542994ba4e3dd00,0.2,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.3333333333333333,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.4,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.5,43,43,0,0.0
5a8db19d5542994ba4e3dd00,0.6,72,72,0,0.0
5a8db19d5542994ba4e3dd00,0.6666666666666666,72,72,0,0.0
5a8db19d5542994ba4e3dd00,0.8,72,72,0,0.0
5a8db19d5542994ba4e3dd00,1.0,72,72,0,0.0
