example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall,cumulative_tokens
5a713ea95542994082a3e6e4,0.6,True,81,"[0, 0, 2, 0, 0, 2]",0.6666666666666666,1.0,0.6666666666666666,81.0
5a713ea95542994082a3e6e4,0.7,True,104,"[0, 2, 2, 0, 0, 2]",1.0,1.0,1.0,185.0
5a713ea95542994082a3e6e4,0.8,True,104,"[0, 2, 2, 0, 0, 2]",1.0,1.0,1.0,289.0
5a713ea95542994082a3e6e4,0.9,True,104,"[0, 2, 2, 0, 0, 2]",1.0,1.0,1.0,393.0
5a713ea95542994082a3e6e4,0.95,True,104,"[0, 2, 2, 0, 0, 2]",1.0,1.0,1.0,497.0
5a760ab65542994ccc918697,0.6,True,210,"[0, 1, 1, 1, 2, 0]",0.6666666666666666,1.0,0.6666666666666666,210.0
5a760ab65542994ccc918697,0.7,False,,,,,,
5a760ab65542994ccc918697,0.8,False,,,,,,
5a760ab65542994ccc918697,0.9,False,,,,,,
5a760ab65542994ccc918697,0.95,False,,,,,,
5a77152355429966f1a36c2e,0.6,True,16,"[0, 0, 0, 2, 1, 0]",0.6666666666666666,1.0,0.6666666666666666,16.0
5a77152355429966f1a36c2e,0.7,True,58,"[0, 0, 0, 2, 1, 2]",1.0,1.0,1.0,74.0
5a77152355429966f1a36c2e,0.8,True,58,"[0, 0, 0, 2, 1, 2]",1.0,1.0,1.0,132.0
5a77152355429966f1a36c2e,0.9,True,58,"[0, 0, 0, 2, 1, 2]",1.0,1.0,1.0,190.0
5a77152355429966f1a36c2e,0.95,True,58,"[0, 0, 0, 2, 1, 2]",1.0,1.0,1.0,248.0
5a7a0e1e5542990783324e1a,0.6,True,28,"[0, 0, 0, 0, 2, 2]",0.6666666666666666,1.0,0.6666666666666666,28.0
5a7a0e1e5542990783324e1a,0.7,True,44,"[0, 2, 0, 0, 2, 2]",1.0,1.0,1.0,72.0
5a7a0e1e5542990783324e1a,0.8,True,44,"[0, 2, 0, 0, 2, 2]",1.0,1.0,1.0,116.0
5a7a0e1e5542990783324e1a,0.9,True,44,"[0, 2, 0, 0, 2, 2]",1.0,1.0,1.0,160.0
5a7a0e1e5542990783324e1a,0.95,True,44,"[0, 2, 0, 0, 2, 2]",1.0,1.0,1.0,204.0
5a7d54165542995f4f402256,0.6,True,59,"[0, 0, 2, 1, 0, 2]",0.75,1.0,0.75,59.0
5a7d54165542995f4f402256,0.7,True,59,"[0, 0, 2, 1, 0, 2]",0.75,1.0,0.75,118.0
5a7d54165542995f4f402256,0.8,True,146,"[0, 0, 2, 1, 2, 2]",1.0,1.0,1.0,264.0
5a7d54165542995f4f402256,0.9,True,146,"[0, 0, 2, 1, 2, 2]",1.0,1.0,1.0,410.0
5a7d54165542995f4f402256,0.95,True,146,"[0, 0, 2, 1, 2, 2]",1.0,1.0,1.0,556.0
5a80840f554299485f59863b,0.6,True,57,"[0, 0, 2, 2, 0, 0]",0.6666666666666666,1.0,0.6666666666666666,57.0
5a80840f554299485f59863b,0.7,True,153,"[1, 0, 2, 2, 2, 0]",1.0,1.0,1.0,210.0
5a80840f554299485f59863b,0.8,True,153,"[1, 0, 2, 2, 2, 0]",1.0,1.0,1.0,363.0
5a80840f554299485f59863b,0.9,True,153,"[1, 0, 2, 2, 2, 0]",1.0,1.0,1.0,516.0
5a80840f554299485f59863b,0.95,True,153,"[1, 0, 2, 2, 2, 0]",1.0,1.0,1.0,669.0
5a85ea095542994775f606a8,0.6,True,133,"[0, 2, 2, 0, 0, 2]",0.6,1.0,0.6,133.0
5a85ea095542994775f606a8,0.7,True,259,"[0, 2, 2, 2, 0, 2]",0.8,1.0,0.8,392.0
5a85ea095542994775f606a8,0.8,True,259,"[0, 2, 2, 2, 0, 2]",0.8,1.0,0.8,651.0
5a85ea095542994775f606a8,0.9,False,,,,,,
5a85ea095542994775f606a8,0.95,False,,,,,,
5a877e5d5542993e715abf7d,0.6,True,43,"[0, 0, 2, 2, 0, 0]",0.6666666666666666,1.0,0.6666666666666666,43.0
5a877e5d5542993e715abf7d,0.7,True,84,"[0, 0, 2, 2, 0, 2]",1.0,1.0,1.0,127.0
5a877e5d5542993e715abf7d,0.8,True,84,"[0, 0, 2, 2, 0, 2]",1.0,1.0,1.0,211.0
5a877e5d5542993e715abf7d,0.9,True,84,"[0, 0, 2, 2, 0, 2]",1.0,1.0,1.0,295.0
5a877e5d5542993e715abf7d,0.95,True,84,"[0, 0, 2, 2, 0, 2]",1.0,1.0,1.0,379.0
5a8e1027554299653c1aa15f,0.6,True,36,"[0, 1, 1, 0, 1, 0]",0.6666666666666666,0.8571428571428571,0.6666666666666666,36.0
5a8e1027554299653c1aa15f,0.7,True,51,"[0, 1, 1, 0, 2, 0]",0.8571428571428571,0.8571428571428571,1.0,87.0
5a8e1027554299653c1aa15f,0.8,True,51,"[0, 1, 1, 0, 2, 0]",0.8571428571428571,0.8571428571428571,1.0,138.0
5a8e1027554299653c1aa15f,0.9,False,,,,,,
5a8e1027554299653c1aa15f,0.95,False,,,,,,
5ab3b0bf5542992ade7c6e39,0.6,True,62,"[0, 0, 0, 2, 2, 0]",0.6666666666666666,1.0,0.6666666666666666,62.0
5ab3b0bf5542992ade7c6e39,0.7,True,162,"[0, 0, 2, 2, 2, 0]",1.0,1.0,1.0,224.0
5ab3b0bf5542992ade7c6e39,0.8,True,162,"[0, 0, 2, 2, 2, 0]",1.0,1.0,1.0,386.0
5ab3b0bf5542992ade7c6e39,0.9,True,162,"[0, 0, 2, 2, 2, 0]",1.0,1.0,1.0,548.0
5ab3b0bf5542992ade7c6e39,0.95,True,162,"[0, 0, 2, 2, 2, 0]",1.0,1.0,1.0,710.0
5ab3e45655429976abd1bcd4,0.6,True,47,"[0, 2, 0, 2, 0, 0]",0.6,0.6,0.6666666666666666,47.0
5ab3e45655429976abd1bcd4,0.7,False,,,,,,
5ab3e45655429976abd1bcd4,0.8,False,,,,,,
5ab3e45655429976abd1bcd4,0.9,False,,,,,,
5ab3e45655429976abd1bcd4,0.95,False,,,,,,
5ab6d09255429954757d337d,0.6,False,,,,,,
5ab6d09255429954757d337d,0.7,False,,,,,,
5ab6d09255429954757d337d,0.8,False,,,,,,
5ab6d09255429954757d337d,0.9,False,,,,,,
5ab6d09255429954757d337d,0.95,False,,,,,,
5ab859a955429934fafe6d7b,0.6,True,47,"[0, 0, 2, 0, 0, 1]",0.6666666666666666,1.0,0.6666666666666666,47.0
5ab859a955429934fafe6d7b,0.7,True,156,"[0, 2, 2, 0, 0, 1]",1.0,1.0,1.0,203.0
5ab859a955429934fafe6d7b,0.8,True,156,"[0, 2, 2, 0, 0, 1]",1.0,1.0,1.0,359.0
5ab859a955429934fafe6d7b,0.9,True,156,"[0, 2, 2, 0, 0, 1]",1.0,1.0,1.0,515.0
5ab859a955429934fafe6d7b,0.95,True,156,"[0, 2, 2, 0, 0, 1]",1.0,1.0,1.0,671.0
5ab96ab755429970cfb8eacd,0.6,True,63,"[0, 1, 2, 0, 0, 2]",0.75,0.923076923076923,0.75,63.0
5ab96ab755429970cfb8eacd,0.7,True,63,"[0, 1, 2, 0, 0, 2]",0.75,0.923076923076923,0.75,126.0
5ab96ab755429970cfb8eacd,0.8,True,98,"[0, 1, 2, 0, 2, 2]",0.923076923076923,0.923076923076923,1.0,224.0
5ab96ab755429970cfb8eacd,0.9,True,98,"[0, 1, 2, 0, 2, 2]",0.923076923076923,0.923076923076923,1.0,322.0
5ab96ab755429970cfb8eacd,0.95,False,,,,,,
5aba5d2e55429901930fa799,0.6,False,,,,,,
5aba5d2e55429901930fa799,0.7,False,,,,,,
5aba5d2e55429901930fa799,0.8,False,,,,,,
5aba5d2e55429901930fa799,0.9,False,,,,,,
5aba5d2e55429901930fa799,0.95,False,,,,,,
5adddccd5542997dc7907069,0.6,True,154,"[1, 0, 0, 2, 2, 2]",0.75,1.0,0.75,154.0
5adddccd5542997dc7907069,0.7,True,154,"[1, 0, 0, 2, 2, 2]",0.75,1.0,0.75,308.0
5adddccd5542997dc7907069,0.8,False,,,,,,
5adddccd5542997dc7907069,0.9,False,,,,,,
5adddccd5542997dc7907069,0.95,False,,,,,,
5ae33c4d5542992f92d82262,0.6,True,81,"[0, 0, 2, 2, 1, 0]",0.6666666666666666,1.0,0.6666666666666666,81.0
5ae33c4d5542992f92d82262,0.7,True,146,"[0, 0, 2, 2, 2, 0]",1.0,1.0,1.0,227.0
5ae33c4d5542992f92d82262,0.8,True,146,"[0, 0, 2, 2, 2, 0]",1.0,1.0,1.0,373.0
5ae33c4d5542992f92d82262,0.9,True,146,"[0, 0, 2, 2, 2, 0]",1.0,1.0,1.0,519.0
5ae33c4d5542992f92d82262,0.95,True,146,"[0, 0, 2, 2, 2, 0]",1.0,1.0,1.0,665.0
