example_id,fidelity_level,independent_tokens,nested_tokens,structural_gap,structural_gap_normalized
5a711c535542994082a3e59b,0.08695652173913043,13,13,0,0.0
5a711c535542994082a3e59b,0.14285714285714288,13,13,0,0.0
5a711c535542994082a3e59b,0.16666666666666666,13,13,0,0.0
5a711c535542994082a3e59b,0.18181818181818182,13,13,0,0.0
5a711c535542994082a3e59b,0.22222222222222224,13,13,0,0.0
5a711c535542994082a3e59b,0.25,13,13,0,0.0
5a711c535542994082a3e59b,0.2857142857142857,13,13,0,0.0
5a711c535542994082a3e59b,0.30769230769230765,13,13,0,0.0
5a711c535542994082a3e59b,0.3333333333333333,13,13,0,0.0
5a711c535542994082a3e59b,0.3636363636363636,13,13,0,0.0
5a711c535542994082a3e59b,0.4,13,13,0,0.0
5a711c535542994082a3e59b,0.4444444444444445,13,13,0,0.0
5a711c535542994082a3e59b,0.5,13,13,0,0.0
5a711c535542994082a3e59b,0.5714285714285715,31,31,0,0.0
5a711c535542994082a3e59b,0.6666666666666666,,,,
5a711c535542994082a3e59b,0.7499999999999999,,,,
5a711c535542994082a3e59b,1.0,,,,
5a72df275542992359bc31b3,0.08695652173913043,77,77,0,0.0
5a72df275542992359bc31b3,0.14285714285714288,77,77,0,0.0
5a72df275542992359bc31b3,0.16666666666666666,77,77,0,0.0
5a72df275542992359bc31b3,0.18181818181818182,77,77,0,0.0
5a72df275542992359bc31b3,0.22222222222222224,77,77,0,0.0
5a72df275542992359bc31b3,0.25,77,77,0,0.0
5a72df275542992359bc31b3,0.2857142857142857,77,77,0,0.0
5a72df275542992359bc31b3,0.30769230769230765,77,77,0,0.0
5a72df275542992359bc31b3,0.3333333333333333,77,77,0,0.0
5a72df275542992359bc31b3,0.3636363636363636,77,77,0,0.0
5a72df275542992359bc31b3,0.4,,,,
5a72df275542992359bc31b3,0.4444444444444445,,,,
5a72df275542992359bc31b3,0.5,,,,
5a72df275542992359bc31b3,0.5714285714285715,,,,
5a72df275542992359bc31b3,0.6666666666666666,,,,
5a72df275542992359bc31b3,0.7499999999999999,,,,
5a72df275542992359bc31b3,1.0,,,,
5a749af055429979e28829b7,0.08695652173913043,168,168,0,0.0
5a749af055429979e28829b7,0.14285714285714288,168,168,0,0.0
5a749af055429979e28829b7,0.16666666666666666,168,168,0,0.0
5a749af055429979e28829b7,0.18181818181818182,168,168,0,0.0
5a749af055429979e28829b7,0.22222222222222224,168,168,0,0.0
5a749af055429979e28829b7,0.25,168,168,0,0.0
5a749af055429979e28829b7,0.2857142857142857,168,168,0,0.0
5a749af055429979e28829b7,0.30769230769230765,168,168,0,0.0
5a749af055429979e28829b7,0.3333333333333333,168,168,0,0.0
5a749af055429979e28829b7,0.3636363636363636,168,168,0,0.0
5a749af055429979e28829b7,0.4,168,168,0,0.0
5a749af055429979e28829b7,0.4444444444444445,168,168,0,0.0
5a749af055429979e28829b7,0.5,168,168,0,0.0
5a749af055429979e28829b7,0.5714285714285715,,,,
5a749af055429979e28829b7,0.6666666666666666,,,,
5a749af055429979e28829b7,0.7499999999999999,,,,
5a749af055429979e28829b7,1.0,,,,
5a77857155429949eeb29ebf,0.08695652173913043,40,48,8,0.2
5a77857155429949eeb29ebf,0.14285714285714288,40,48,8,0.2
5a77857155429949eeb29ebf,0.16666666666666666,40,48,8,0.2
5a77857155429949eeb29ebf,0.18181818181818182,40,48,8,0.2
5a77857155429949eeb29ebf,0.22222222222222224,40,48,8,0.2
5a77857155429949eeb29ebf,0.25,40,48,8,0.2
5a77857155429949eeb29ebf,0.2857142857142857,40,48,8,0.2
5a77857155429949eeb29ebf,0.30769230769230765,40,48,8,0.2
5a77857155429949eeb29ebf,0.3333333333333333,40,48,8,0.2
5a77857155429949eeb29ebf,0.3636363636363636,73,78,5,0.0684931506849315
5a77857155429949eeb29ebf,0.4,73,78,5,0.0684931506849315
5a77857155429949eeb29ebf,0.4444444444444445,73,78,5,0.0684931506849315
5a77857155429949eeb29ebf,0.5,73,78,5,0.0684931506849315
5a77857155429949eeb29ebf,0.5714285714285715,73,78,5,0.0684931506849315
5a77857155429949eeb29ebf,0.6666666666666666,73,78,5,0.0684931506849315
5a77857155429949eeb29ebf,0.7499999999999999,110,110,0,0.0
5a77857155429949eeb29ebf,1.0,110,110,0,0.0
5a78c235554299078472775d,0.08695652173913043,,,,
5a78c235554299078472775d,0.14285714285714288,,,,
5a78c235554299078472775d,0.16666666666666666,,,,
5a78c235554299078472775d,0.18181818181818182,,,,
5a78c235554299078472775d,0.22222222222222224,,,,
5a78c235554299078472775d,0.25,,,,
5a78c235554299078472775d,0.2857142857142857,,,,
5a78c235554299078472775d,0.30769230769230765,,,,
5a78c235554299078472775d,0.3333333333333333,,,,
5a78c235554299078472775d,0.3636363636363636,,,,
5a78c235554299078472775d,0.4,,,,
5a78c235554299078472775d,0.4444444444444445,,,,
5a78c235554299078472775d,0.5,,,,
5a78c235554299078472775d,0.5714285714285715,,,,
5a78c235554299078472775d,0.6666666666666666,,,,
5a78c235554299078472775d,0.7499999999999999,,,,
5a78c235554299078472775d,1.0,,,,
5a7b1c745542992d025e6777,0.08695652173913043,13,13,0,0.0
5a7b1c745542992d025e6777,0.14285714285714288,13,13,0,0.0
5a7b1c745542992d025e6777,0.16666666666666666,13,13,0,0.0
5a7b1c745542992d025e6777,0.18181818181818182,13,13,0,0.0
5a7b1c745542992d025e6777,0.22222222222222224,13,13,0,0.0
5a7b1c745542992d025e6777,0.25,13,13,0,0.0
5a7b1c745542992d025e6777,0.2857142857142857,13,13,0,0.0
5a7b1c745542992d025e6777,0.30769230769230765,13,13,0,0.0
5a7b1c745542992d025e6777,0.3333333333333333,13,13,0,0.0
5a7b1c745542992d025e6777,0.3636363636363636,13,13,0,0.0
5a7b1c745542992d025e6777,0.4,13,13,0,0.0
5a7b1c745542992d025e6777,0.4444444444444445,,,,
