example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall
5a739d8755429978a71e9048,0.6,True,54,"[2, 0, 2, 0, 0, 0]",1.0,1.0,1.0
5a739d8755429978a71e9048,0.7,True,54,"[2, 0, 2, 0, 0, 0]",1.0,1.0,1.0
5a739d8755429978a71e9048,0.8,True,54,"[2, 0, 2, 0, 0, 0]",1.0,1.0,1.0
5a739d8755429978a71e9048,0.9,True,54,"[2, 0, 2, 0, 0, 0]",1.0,1.0,1.0
5a739d8755429978a71e9048,0.95,True,54,"[2, 0, 2, 0, 0, 0]",1.0,1.0,1.0
5a745e1455429929fddd83fd,0.6,True,59,"[0, 0, 2, 0, 2, 0]",1.0,1.0,1.0
5a745e1455429929fddd83fd,0.7,True,59,"[0, 0, 2, 0, 2, 0]",1.0,1.0,1.0
5a745e1455429929fddd83fd,0.8,True,59,"[0, 0, 2, 0, 2, 0]",1.0,1.0,1.0
5a745e1455429929fddd83fd,0.9,True,59,"[0, 0, 2, 0, 2, 0]",1.0,1.0,1.0
5a745e1455429929fddd83fd,0.95,True,59,"[0, 0, 2, 0, 2, 0]",1.0,1.0,1.0
5a78d35e55429974737f78c3,0.6,True,26,"[0, 0, 2, 0, 1, 0]",1.0,1.0,1.0
5a78d35e55429974737f78c3,0.7,True,26,"[0, 0, 2, 0, 1, 0]",1.0,1.0,1.0
5a78d35e55429974737f78c3,0.8,True,26,"[0, 0, 2, 0, 1, 0]",1.0,1.0,1.0
5a78d35e55429974737f78c3,0.9,True,26,"[0, 0, 2, 0, 1, 0]",1.0,1.0,1.0
5a78d35e55429974737f78c3,0.95,True,26,"[0, 0, 2, 0, 1, 0]",1.0,1.0,1.0
5a7a43245542994f819ef19d,0.6,True,68,"[2, 0, 0, 0, 0, 1]",1.0,1.0,1.0
5a7a43245542994f819ef19d,0.7,True,68,"[2, 0, 0, 0, 0, 1]",1.0,1.0,1.0
5a7a43245542994f819ef19d,0.8,True,68,"[2, 0, 0, 0, 0, 1]",1.0,1.0,1.0
5a7a43245542994f819ef19d,0.9,True,68,"[2, 0, 0, 0, 0, 1]",1.0,1.0,1.0
5a7a43245542994f819ef19d,0.95,True,68,"[2, 0, 0, 0, 0, 1]",1.0,1.0,1.0
5a7cd7f055429909bec7683e,0.6,True,88,"[0, 0, 2, 1, 0, 1]",0.6666666666666666,0.6666666666666666,0.6666666666666666
